time;P1.B2004;P1.B2016;P1.B3004;P1.B3005;P1.B4002;P1.B4005;P1.B400B;P1.B4022;P1.FCV01D;P1.FCV01Z;P1.FCV02D;P1.FCV02Z;P1.FCV03D;P1.FCV03Z;P1.FT01;P1.FT01Z;P1.FT02;P1.FT02Z;P1.FT03;P1.FT03Z;P1.LCV01D;P1.LCV01Z;P1.LIT01;P1.PCV01D;P1.PCV01Z;P1.PCV02D;P1.PCV02Z;P1.PIT01;P1.PIT02;P1.TIT01;P1.TIT02;P2.24Vdc;P2.Auto;P2.Emgy;P2.On;P2.SD01;P2.SIT01;P2.TripEx;P2.VT01e;P2.VXT02;P2.VXT03;P2.VYT02;P2.VYT03;P3.LCP01D;P3.LCV01D;P3.LH;P3.LL;P3.LT01;P4.HT_FD;P4.HT_LD;P4.HT_PO;P4.HT_PS;P4.LD;P4.ST_FD;P4.ST_LD;P4.ST_PO;P4.ST_PS;P4.ST_PT01;P4.ST_TT01;attack;attack.P1;attack.P2;attack.P3
2019-10-29 11:00:10+09:00;0.09820;1.48070;461.98830;1099.73630;32.00000;0.00000;66.73570;35.95620;9.78150;8.83640;100.00000;96.34550;53.09000;53.48360;175.13280;836.56320;12.81740;67.72900;306.93050;1102.91220;13.30280;13.45980;465.02110;83.24750;83.71890;12.00000;11.62870;1.40400;0.19090;36.41360;37.51220;28.02810;1.00000;0.00000;1.00000;0.00000;793.00000;0.00000;11.84190;-4.18110;-2.04360;-0.38370;1.20450;728.00000;15024.00000;70.00000;10.00000;31.23190;0.00000;71.55670;69.77000;0.00000;434.00960;0.00330;360.67710;355.75810;0.00000;10053.00000;27629.00000;1;1;0;0
2019-10-29 11:00:11+09:00;0.09820;1.48200;461.98830;1099.73630;32.00000;0.00000;67.72900;35.95960;9.77590;8.83640;100.00000;96.35310;53.19280;53.48360;174.94200;838.30270;13.58030;66.73570;305.21390;1104.18790;13.24290;13.45980;464.96990;83.28950;83.71890;12.00000;11.62870;1.40550;0.19090;36.39830;37.51220;28.02640;1.00000;0.00000;1.00000;0.00000;791.00000;0.00000;11.76330;-4.83060;-2.24600;-0.20010;1.59090;696.00000;15056.00000;70.00000;10.00000;31.08000;0.00000;71.67970;69.93270;0.00000;433.44910;0.00070;360.60470;356.04740;0.00000;10053.00000;27629.00000;1;1;0;0
2019-10-29 11:00:12+09:00;0.09820;1.48050;461.98830;1099.73630;32.00000;0.00000;66.73570;35.95580;9.69210;8.83640;100.00000;96.36080;53.26680;53.48360;174.56050;837.86770;12.81740;70.70820;304.06950;1101.31770;13.33910;13.45980;464.81660;83.32700;83.71890;12.00000;11.62870;1.40170;0.18940;36.41360;37.51220;28.02290;1.00000;0.00000;1.00000;0.00000;793.00000;0.00000;11.64750;-4.78850;-1.99530;0.51950;1.93760;656.00000;15088.00000;70.00000;10.00000;31.02210;0.00000;71.75200;70.16780;0.00000;433.23210;-0.00010;361.31010;356.21020;0.00000;10053.00000;27629.00000;1;1;0;0
2019-10-29 11:00:13+09:00;0.09820;1.48650;461.98830;1099.73630;32.00000;0.00000;70.70820;35.97070;9.73280;8.83640;100.00000;96.35310;53.20110;53.48360;173.98830;836.99800;11.67300;66.73570;305.02320;1099.40420;13.42450;13.45980;464.76540;83.37730;84.10030;12.00000;11.62870;1.39860;0.18940;36.41360;37.49690;28.02380;1.00000;0.00000;1.00000;0.00000;793.00000;0.00000;11.67770;-4.16930;-1.66550;0.78910;1.77650;624.00000;15136.00000;70.00000;10.00000;30.98960;0.00000;71.83160;70.27630;0.00000;432.99700;0.00120;361.56320;356.75270;0.00000;10053.00000;27629.00000;1;1;0;0
2019-10-29 11:00:14+09:00;0.09820;1.48980;461.98830;1099.73630;32.00000;0.00000;66.73570;35.97910;9.80630;8.83640;100.00000;96.39130;53.11570;53.48360;174.56050;835.69340;11.67300;60.77740;306.16760;1100.99880;13.35850;13.45980;465.02110;83.46400;85.00820;12.00000;11.62870;1.39790;0.18780;36.41360;37.51220;28.02120;1.00000;0.00000;1.00000;0.00000;792.00000;0.00000;11.77280;-3.77870;-1.68270;0.22820;1.31610;592.00000;15168.00000;70.00000;10.00000;30.86300;0.00000;71.92560;70.42100;0.00000;435.29370;0.00220;361.23770;357.33150;0.00000;10053.00000;27629.00000;1;1;0;0
2019-10-29 11:00:15+09:00;0.09820;1.48920;461.98830;1099.73630;32.00000;0.00000;60.77740;35.97760;9.78720;8.84400;100.00000;96.41420;53.10300;53.48360;177.42160;836.99800;11.10070;60.77740;306.16760;1102.91220;13.22310;13.45980;464.91880;83.52950;85.02350;12.00000;11.62870;1.39860;0.19390;36.39830;37.52750;28.02380;1.00000;0.00000;1.00000;0.00000;793.00000;0.00000;11.84010;-4.18210;-2.04120;-0.38400;1.21720;560.00000;15200.00000;70.00000;10.00000;30.74000;0.00030;71.99800;70.60190;0.00000;433.53950;0.00010;361.00260;357.72930;0.00000;10053.00000;27629.00000;1;1;0;0
2019-10-29 11:00:16+09:00;0.09820;1.48800;461.98830;1099.73630;32.00000;0.00000;60.77740;35.97450;9.81540;8.82870;100.00000;96.34550;53.19750;53.48360;175.51420;843.52120;13.19880;57.79780;304.64170;1102.91220;13.21580;13.45980;464.81660;83.56830;85.07690;12.00000;11.62870;1.39940;0.18940;36.42880;37.51220;28.02120;1.00000;0.00000;1.00000;0.00000;792.00000;0.00000;11.75850;-4.84850;-2.24600;-0.17500;1.61020;536.00000;15216.00000;70.00000;10.00000;30.67490;0.00000;72.06310;70.78270;0.00000;435.16710;0.00120;361.09300;358.57930;0.00000;10053.00000;27629.00000;1;1;0;0
2019-10-29 11:00:17+09:00;0.09820;1.49260;461.98830;1099.73630;32.00000;0.00000;57.79780;35.98590;9.62420;8.84400;100.00000;96.35310;53.18160;53.48360;177.04010;839.17230;12.62670;68.72190;304.83250;1100.36100;13.31290;13.45980;464.71440;83.60320;85.08450;12.00000;11.62870;1.39940;0.19090;36.41360;37.51220;28.02290;1.00000;0.00000;1.00000;0.00000;791.00000;0.00000;11.64370;-4.76230;-1.97210;0.55140;1.94050;512.00000;15248.00000;70.00000;10.00000;30.63150;0.00000;72.13540;70.90920;0.00000;435.72770;0.00120;362.99190;359.04950;0.00000;10053.00000;27629.00000;1;1;0;0
2019-10-29 11:00:18+09:00;0.09820;1.49330;461.98830;1099.73630;32.00000;0.00000;68.72190;35.98790;9.64980;8.83640;100.00000;96.34550;53.21800;53.48360;174.75130;842.65140;11.86370;65.74280;304.26020;1100.67990;13.30350;13.45980;464.66320;83.67150;85.04640;12.00000;11.62870;1.39940;0.19240;36.42880;37.49690;28.02470;1.00000;0.00000;1.00000;0.00000;792.00000;0.00000;11.68200;-4.12490;-1.64910;0.78550;1.75770;480.00000;15264.00000;70.00000;10.00000;30.51580;0.00000;72.21500;71.03590;0.00000;437.57240;-0.00250;365.32480;358.50690;0.00000;10053.00000;27629.00000;1;1;0;0
2019-10-29 11:00:19+09:00;0.09820;1.49460;461.98830;1099.73630;32.00000;0.00000;65.74280;35.99090;9.69210;8.83640;100.00000;96.44470;53.08410;53.48360;173.03470;837.43290;12.62670;61.77030;306.16760;1099.72300;13.33700;13.45980;464.76540;83.72210;85.03110;12.00000;11.62870;1.40090;0.18940;36.41360;37.49690;28.02120;1.00000;0.00000;1.00000;0.00000;791.00000;0.00000;11.77700;-3.77470;-1.69450;0.18730;1.30440;456.00000;15296.00000;70.00000;10.00000;30.44700;0.00000;72.28730;71.14440;0.00000;436.07140;0.00030;363.15470;359.06760;0.00000;10053.00000;27629.00000;1;1;0;0
2019-10-29 11:00:20+09:00;0.09820;1.50280;461.98830;1099.73630;32.00000;0.00000;61.77030;36.01150;9.60980;8.83640;100.00000;96.38370;52.99100;53.48360;174.56050;833.51900;12.24520;65.74280;307.31200;1102.91220;13.18040;13.45980;464.66320;83.76750;85.13790;12.00000;11.62870;1.40240;0.19010;36.42880;37.51220;28.02120;1.00000;0.00000;1.00000;0.00000;791.00000;0.00000;11.83940;-4.21580;-2.05770;-0.40350;1.21110;432.00000;15312.00000;70.00000;10.00000;30.41090;0.00000;72.33800;71.27100;0.00000;434.93200;-0.00010;362.44930;359.48350;0.00000;10053.00000;27629.00000;1;1;0;0
2019-10-29 11:00:21+09:00;0.09820;1.50030;461.98830;1099.73630;32.00000;0.00000;65.74280;36.00540;9.62060;8.83640;100.00000;96.35310;53.05100;53.48360;175.89560;840.47710;12.62670;65.74280;306.16760;1102.91220;13.09640;13.45980;464.71440;83.84960;85.13790;12.00000;11.62870;1.39940;0.18860;36.41360;37.52750;28.02300;1.00000;0.00000;1.00000;0.00000;793.00000;0.00000;11.76060;-4.84530;-2.24230;-0.17440;1.61200;416.00000;15328.00000;70.00000;10.00000;30.35300;0.00000;72.41030;71.37950;0.00000;437.22880;0.00130;362.57590;360.24310;0.00000;10053.00000;27629.00000;1;1;0;0
2019-10-29 11:00:22+09:00;0.09820;1.50160;461.98830;1099.73630;32.00000;0.00000;63.75650;36.00850;9.56920;8.83640;100.00000;96.35310;53.10530;53.48360;175.89560;840.47710;12.05440;65.74280;305.21390;1102.91220;13.13630;13.45980;464.66320;83.90300;85.13790;12.00000;11.62870;1.39860;0.19170;36.41360;37.51220;28.02290;1.00000;0.00000;1.00000;0.00000;791.00000;0.00000;11.64400;-4.76870;-1.97280;0.55690;1.93870;392.00000;15360.00000;70.00000;10.00000;30.28430;0.00000;72.48260;71.45180;0.00000;436.27030;-0.00030;363.42590;360.71330;0.00000;10053.00000;27629.00000;1;1;0;0
2019-10-29 11:00:23+09:00;0.09820;1.50130;461.98830;1099.73630;32.00000;0.00000;65.74280;36.00770;9.59580;8.83640;100.00000;96.42180;53.01860;53.48360;175.89560;840.04210;12.24520;62.76320;306.35830;1101.31770;13.18710;13.45980;464.66320;83.96390;85.13790;12.00000;11.62870;1.39790;0.19090;36.41360;37.52750;28.02290;1.00000;0.00000;1.00000;0.00000;791.00000;0.00000;11.68330;-4.11670;-1.64410;0.77790;1.74560;376.00000;15376.00000;70.00000;10.00000;30.19020;0.00000;72.53330;71.57840;0.00000;437.57240;-0.00120;364.94500;360.44200;0.00000;10053.00000;27629.00000;1;1;0;0
2019-10-29 11:00:24+09:00;0.09820;1.50420;461.98830;1099.73630;32.00000;0.00000;62.76320;36.01490;9.56030;8.83640;100.00000;96.36080;53.19220;53.48360;173.60690;840.04210;12.81740;63.75650;303.68800;1103.23110;13.09310;13.45980;464.66320;84.01770;85.13790;12.00000;11.62870;1.39790;0.19010;36.42880;37.49690;28.02200;1.00000;0.00000;1.00000;0.00000;792.00000;0.00000;11.77790;-3.76470;-1.69460;0.16630;1.29420;352.00000;15392.00000;70.00000;10.00000;30.15410;0.00010;72.57670;71.70500;0.00000;434.62460;0.00180;363.04610;360.65900;0.00000;10053.00000;27629.00000;1;1;0;0
2019-10-29 11:00:25+09:00;0.09820;1.50720;461.98830;1099.73630;32.00000;0.00000;63.75650;36.02260;9.49310;8.83640;100.00000;96.38370;53.07550;53.48360;178.94740;834.82360;13.19880;66.73570;305.40460;1098.76640;13.25150;13.45980;464.66320;84.08470;85.13790;12.00000;11.62870;1.39940;0.19170;36.41360;37.51220;28.02200;1.00000;0.00000;1.00000;0.00000;792.00000;0.00000;11.83840;-4.22690;-2.05940;-0.39490;1.23030;336.00000;15408.00000;70.00000;10.00000;30.11070;0.00000;72.60560;71.83160;0.00000;438.18720;0.00010;363.89610;361.12920;0.00000;10053.00000;27629.00000;1;1;0;0
2019-10-29 11:00:26+09:00;0.09820;1.50280;461.98830;1099.73630;32.00000;0.00000;66.73570;36.01150;9.44070;8.83640;100.00000;96.38370;53.12150;53.48360;170.55510;847.00010;12.62670;65.74280;304.64170;1101.63660;13.12840;13.45980;464.66320;84.14580;85.13790;12.00000;11.62870;1.39860;0.19240;36.41360;37.49690;28.02210;1.00000;0.00000;1.00000;0.00000;791.00000;0.00000;11.75330;-4.86500;-2.23920;-0.13570;1.63980;320.00000;15440.00000;70.00000;10.00000;30.05280;-0.00020;72.67070;71.83160;0.00000;438.38620;0.00170;363.53440;361.67180;0.00000;10053.00000;27629.00000;1;1;0;0
2019-10-29 11:00:27+09:00;0.09820;1.50680;461.98830;1099.73630;32.00000;0.00000;68.72190;36.02140;9.46640;8.84400;100.00000;96.36080;52.94490;53.48360;177.23080;827.86560;13.00810;67.72900;307.12120;1100.36100;13.16310;13.45980;464.50990;84.18050;85.13030;12.00000;11.62870;1.39790;0.18860;36.42880;37.49690;28.02210;1.00000;0.00000;1.00000;0.00000;791.00000;0.00000;11.64300;-4.75090;-1.96010;0.57600;1.94750;312.00000;15456.00000;70.00000;10.00000;30.03110;0.00000;72.72860;71.94010;0.00000;438.33190;0.00090;365.97580;361.70790;0.00000;10053.00000;27629.00000;1;1;0;0
2019-10-29 11:00:28+09:00;0.09820;1.50650;461.98830;1099.73630;32.00000;0.00000;65.74280;36.02070;9.41430;8.83640;100.00000;96.36080;53.05970;53.48360;172.65320;843.08620;12.43590;60.77740;305.21390;1104.50670;13.00700;13.45980;464.50990;84.25740;85.10740;12.00000;11.62870;1.39860;0.19010;36.41360;37.51220;28.02550;1.00000;0.00000;1.00000;0.00000;793.00000;0.00000;11.68270;-4.12550;-1.64830;0.78200;1.74870;296.00000;15472.00000;70.00000;10.00000;29.97320;0.00000;72.77920;71.99440;0.00000;437.87980;0.00010;364.07700;361.16530;0.00000;10053.00000;27629.00000;1;1;0;0
2019-10-29 11:00:29+09:00;0.09820;1.50980;461.98830;1099.73630;32.00000;0.00000;67.72900;36.02910;9.50320;8.83640;100.00000;96.35310;53.04000;53.48360;177.61230;832.64930;12.81740;64.74950;305.40460;1101.31770;13.10930;13.45980;464.56100;84.30630;85.02350;12.00000;11.62870;1.39860;0.18780;36.41360;37.49690;28.02380;1.00000;0.00000;1.00000;0.00000;791.00000;0.00000;11.77910;-3.78210;-1.69980;0.16750;1.28750;280.00000;15488.00000;70.00000;10.00000;29.92620;0.00000;72.82260;72.13900;0.00000;438.71170;0.00190;366.10250;362.57590;0.00000;10053.00000;27629.00000;1;1;0;0
2019-10-29 11:00:30+09:00;0.09820;1.50950;461.98830;1099.73630;32.00000;0.00000;60.77740;36.02830;9.42120;8.83640;100.00000;96.34550;52.99220;53.48360;175.51420;840.47710;13.96180;66.73570;305.97680;1101.63660;13.07270;13.45980;464.56100;84.37780;85.02350;12.00000;11.62870;1.39940;0.19390;36.41360;37.51220;28.01940;1.00000;0.00000;1.00000;0.00000;792.00000;0.00000;11.83830;-4.23230;-2.06000;-0.39740;1.23150;264.00000;15488.00000;70.00000;10.00000;29.89000;0.00000;72.85160;72.17520;0.00000;438.15110;-0.00130;365.74070;362.44930;0.00000;10053.00000;27629.00000;1;1;0;0
2019-10-29 11:00:31+09:00;0.09820;1.50900;461.98830;1099.73630;32.00000;0.00000;64.74950;36.02710;9.36940;8.83640;100.00000;96.40650;52.91380;53.48360;173.98830;843.95600;12.62670;72.69440;306.93050;1102.59330;13.01690;13.45980;464.61210;84.42780;85.02350;12.00000;11.62870;1.39860;0.18940;36.41360;37.49690;28.02460;1.00000;0.00000;1.00000;0.00000;792.00000;0.00000;11.75570;-4.84610;-2.22660;-0.15010;1.63770;248.00000;15504.00000;70.00000;10.00000;29.86110;-0.00020;72.88050;72.24760;0.00000;438.18720;-0.00170;367.36830;362.91960;0.00000;10053.00000;27629.00000;1;1;0;0
2019-10-29 11:00:32+09:00;0.09820;1.51330;461.98830;1099.73630;32.00000;0.00000;66.73570;36.03780;9.25410;8.83640;100.00000;96.35310;53.00320;53.48360;176.27710;839.17230;12.24520;65.74280;305.40460;1104.18790;12.92310;13.45980;464.50990;84.48450;85.00820;12.00000;11.62870;1.39940;0.19010;36.42880;37.51220;28.02030;1.00000;0.00000;1.00000;0.00000;791.00000;0.00000;11.64300;-4.74460;-1.95550;0.56540;1.94660;240.00000;15520.00000;70.00000;10.00000;29.82860;0.00000;72.90220;72.30180;0.00000;438.07870;-0.00090;365.07160;362.77490;0.00000;10053.00000;27629.00000;1;1;0;0
2019-10-29 11:00:33+09:00;0.09820;1.51680;461.98830;1099.73630;32.00000;0.00000;72.69440;36.04660;9.34140;8.83640;100.00000;96.37600;53.12950;53.48360;176.84940;835.69340;13.00810;63.75650;303.49730;1101.63660;13.01690;13.45980;464.45880;84.55810;85.94670;12.00000;11.62870;1.40010;0.19010;36.41360;37.49690;28.02380;1.00000;0.00000;1.00000;0.00000;793.00000;0.00000;11.68350;-4.12700;-1.64710;0.78620;1.75350;224.00000;15536.00000;70.00000;10.00000;29.76350;0.00000;72.94560;72.37410;0.00000;437.84360;0.00200;365.25240;363.02810;0.00000;10053.00000;27629.00000;1;1;0;0
2019-10-29 11:00:34+09:00;0.09820;1.51650;461.98830;1099.73630;32.00000;0.00000;65.74280;36.04580;9.35220;8.83640;100.00000;96.35310;53.09450;53.48360;170.93660;840.91190;13.19880;67.72900;304.06950;1098.44750;13.13870;13.45980;464.56100;84.62950;86.30520;12.00000;11.62870;1.40090;0.19170;36.42880;37.51220;28.02820;1.00000;0.00000;1.00000;0.00000;793.00000;0.00000;11.77990;-3.78460;-1.70030;0.16690;1.28360;216.00000;15536.00000;70.00000;10.00000;29.66940;0.00000;72.97450;72.44650;0.00000;438.67550;-0.00130;365.63230;363.33550;0.00000;10053.00000;27629.00000;1;1;0;0
2019-10-29 11:00:35+09:00;0.09820;1.51130;461.98830;1099.73630;32.00000;0.00000;63.75650;36.03290;9.26930;8.83640;100.00000;96.36080;53.02880;53.48360;174.75130;842.21660;12.62670;68.72190;305.02320;1099.40420;13.07910;13.45980;464.56100;84.68220;86.30520;12.00000;11.62870;1.40320;0.19090;36.41360;37.49690;28.02030;1.00000;0.00000;1.00000;0.00000;792.00000;0.00000;11.83880;-4.22800;-2.05950;-0.39940;1.22130;208.00000;15552.00000;70.00000;10.00000;29.62600;-0.00020;72.99620;72.48270;0.00000;439.56160;-0.00010;365.74070;363.66110;0.00000;10053.00000;27629.00000;1;1;0;0
2019-10-29 11:00:36+09:00;0.09820;1.51770;461.98830;1099.73630;32.00000;0.00000;67.72900;36.04890;9.23230;8.83640;100.00000;96.39130;53.10410;53.48360;173.79760;828.73540;12.62670;65.74280;303.87880;1100.99880;13.00610;13.45980;464.35650;84.70080;86.29760;12.00000;11.62870;1.40240;0.18940;36.41360;37.49690;28.02200;1.00000;0.00000;1.00000;0.00000;792.00000;0.00000;11.75610;-4.85900;-2.23590;-0.14850;1.62900;192.00000;15568.00000;70.00000;10.00000;29.58260;0.00000;73.02520;72.55500;0.00000;439.18190;0.00060;364.56520;363.42590;0.00000;10053.00000;27629.00000;1;1;0;0
2019-10-29 11:00:37+09:00;0.09820;1.51850;461.98830;1099.73630;32.00000;0.00000;68.72190;36.05080;9.25800;8.83640;100.00000;96.36080;53.06660;53.48360;175.70490;837.43290;12.81740;65.74280;304.45100;1099.08530;13.10340;13.45980;464.35650;84.79250;86.31290;12.00000;11.62870;1.39940;0.19170;36.42880;37.51220;28.02380;1.00000;0.00000;1.00000;0.00000;792.00000;0.00000;11.64450;-4.77430;-1.97250;0.54530;1.93280;184.00000;15568.00000;70.00000;10.00000;29.56090;0.00000;73.06860;72.60930;0.00000;438.15110;0.00170;365.03550;363.53440;0.00000;10053.00000;27629.00000;1;1;0;0
2019-10-29 11:00:38+09:00;0.09820;1.51520;461.98830;1099.73630;32.00000;0.00000;65.74280;36.04240;9.23730;8.83640;100.00000;96.35310;52.98500;53.48360;173.22540;835.25840;12.81740;66.73570;305.59530;1100.04210;13.05860;13.45980;464.45880;84.87020;86.31290;12.00000;11.62870;1.39790;0.19240;36.41360;37.49690;28.02120;1.00000;0.00000;1.00000;0.00000;792.00000;0.00000;11.68250;-4.12760;-1.64330;0.78650;1.75590;176.00000;15584.00000;70.00000;10.00000;29.48860;0.00000;73.09750;72.68150;0.00000;438.80210;0.00250;366.48220;364.09500;0.00000;10053.00000;27629.00000;1;1;0;0
